Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,825,825,12.119,1.1445,1.1445,10000,10367,10943,11391,10367,10943,11391
2,889,856,23.363,1.119,1.13175,20000,10239,10815,11263,10111,10687,11135
3,897,869,34.509,1.1111,1.1248666666666667,30000,10175,10751,11199,10047,10559,11007
4,890,874,45.741,1.1201,1.123675,40000,10175,10687,11135,10111,10687,11135
5,884,876,57.044,1.126,1.12414,50000,10175,10687,11135,10111,10687,11199
6,883,877,68.363,1.1274,1.1246833333333333,60000,10175,10687,11199,10175,10751,11199
7,877,877,79.76,1.1353,1.1262,70000,10175,10751,11199,10239,10815,11263
8,897,880,90.902,1.1111,1.1243125,80000,10175,10687,11135,10047,10559,11007
9,881,880,102.252,1.1323,1.1252,90000,10175,10687,11199,10239,10751,11263
10,879,880,113.624,1.1334,1.12602,100000,10175,10751,11199,10239,10815,11263
11,905,882,124.673,1.1026,1.123890909090909,110000,10175,10687,11199,9983,10495,10943
