Id, Throughput in this window (events/second), Entire throughput for the run (events/second), Total elapsed time(s), Average latency per event (ms), Entire Average latency per event (ms), Total number of events received (non-atomic),AVG latency from start (90),AVG latency from start(95), AVG latency from start (99),AVG latency in this window(90),AVG latency in this window(95),AVG latency in this window(99)
1,836,836,11.96,1.1228,1.1228,10000,10111,10687,11135,10111,10687,11135
2,868,851,23.48,1.1432,1.133,20000,10239,10815,11263,10367,10943,11327
3,875,859,34.902,1.1368,1.1342666666666668,30000,10239,10815,11263,10239,10815,11263
4,873,862,46.357,1.14,1.1357,40000,10239,10815,11263,10303,10879,11327
5,875,865,57.777,1.1376,1.13608,50000,10239,10815,11263,10239,10815,11327
6,886,868,69.062,1.1236,1.134,60000,10239,10815,11263,10175,10687,11135
7,894,872,80.246,1.1143,1.1311857142857142,70000,10239,10751,11263,10047,10623,11071
8,897,875,91.386,1.112,1.1287875,80000,10175,10751,11199,10047,10623,11007
9,891,877,102.607,1.1184,1.1276333333333333,90000,10175,10751,11199,10111,10623,11071
10,892,878,113.816,1.1184,1.12671,100000,10175,10751,11199,10111,10687,11135
11,897,880,124.956,1.1109,1.1252727272727272,110000,10175,10751,11199,10047,10623,11007
